sex,age,time,failures,score,gpa,,,G3,sex not norm,,studytime,correct not norm,,,attemtps,correct
1,18,18,0,40,1,,,6,F,,9,6,,,5,2
1,17,11,0,100,1,,,6,F,,2,5,,,5,5
1,15,11,3,57.14285714,2,,,10,F,,2,8,,,7,4
1,15,12,0,93.33333333,3,,,15,F,,3,14,,,15,14
1,16,11,0,50,2,,,10,F,,2,10,,,6,3
-1,16,11,0,100,3,,,15,M,,2,15,,,15,15
-1,16,11,0,100,2,,,11,M,,2,12,,,12,12
1,17,11,0,83.33333333,1,,,6,F,,2,5,,,6,5
-1,15,11,0,81.25,4,,,19,M,,2,18,,,16,13
-1,15,11,0,78.57142857,3,,,15,M,,2,15,,,14,11
1,15,11,0,80,1,,,9,F,,2,8,,,10,8
1,15,12,0,70,2,,,12,F,,3,12,,,10,7
-1,15,10,0,100,2,,,14,M,,1,14,,,14,14
-1,15,11,0,100,2,,,11,M,,2,10,,,10,10
-1,15,12,0,78.57142857,3,,,16,M,,3,16,,,14,11
1,16,10,0,100,2,,,14,F,,1,14,,,14,14
1,16,12,0,76.92307692,2,,,14,F,,3,14,,,13,10
1,16,11,0,62.5,2,,,10,F,,2,10,,,8,5
-1,17,10,3,83.33333333,0,,,5,M,,1,5,,,6,5
-1,16,10,0,62.5,2,,,10,M,,1,10,,,8,5
-1,15,11,0,76.92307692,3,,,15,M,,2,14,,,13,10
-1,15,10,0,75,3,,,15,M,,1,15,,,12,9
-1,16,11,0,100,3,,,16,M,,2,15,,,15,15
-1,16,11,0,100,2,,,12,M,,2,13,,,13,13
1,15,12,0,90,1,,,8,F,,3,9,,,10,9
1,16,10,2,50,1,,,8,F,,1,9,,,6,3
-1,15,10,0,100,2,,,11,M,,1,12,,,12,12
-1,15,10,0,80,3,,,15,M,,1,16,,,15,12
-1,16,11,0,100,2,,,11,M,,2,11,,,11,11
-1,16,11,0,70,2,,,11,M,,2,12,,,10,7
-1,15,11,0,66.66666667,2,,,12,M,,2,11,,,9,6
-1,15,11,0,94.11764706,3,,,17,M,,2,16,,,17,16
-1,15,11,0,94.11764706,3,,,16,M,,2,16,,,17,16
-1,15,11,0,62.5,2,,,12,M,,2,10,,,8,5
-1,16,10,0,75,3,,,15,M,,1,14,,,12,9
1,15,10,0,87.5,1,,,6,F,,1,7,,,8,7
-1,15,12,0,80,4,,,18,M,,3,16,,,15,12
-1,16,12,0,80,3,,,15,M,,3,16,,,15,12
1,15,12,0,100,2,,,11,F,,3,12,,,12,12
1,15,10,0,92.85714286,2,,,13,F,,1,13,,,14,13
1,16,11,1,57.14285714,2,,,11,F,,2,10,,,7,4
-1,15,10,0,100,2,,,12,M,,1,12,,,12,12
-1,15,11,0,94.73684211,4,,,18,M,,2,18,,,19,18
-1,15,10,0,100,2,,,11,M,,1,8,,,8,8
1,16,11,1,100,1,,,9,F,,2,10,,,10,10
1,15,11,0,100,1,,,6,F,,2,8,,,8,8
1,16,11,0,72.72727273,2,,,11,F,,2,12,,,11,8
-1,16,13,0,100,4,,,20,M,,4,19,,,19,19
-1,15,11,0,100,2,,,14,M,,2,15,,,15,15
1,15,11,1,100,1,,,7,F,,2,7,,,7,7
1,16,11,0,75,2,,,13,F,,2,13,,,12,9
1,15,11,0,72.72727273,2,,,13,F,,2,13,,,11,8
-1,15,10,1,100,2,,,10,M,,1,11,,,11,11
1,15,10,0,62.5,2,,,11,F,,1,10,,,8,5
1,15,10,0,70,2,,,13,F,,1,13,,,10,7
1,16,11,0,62.5,2,,,10,F,,2,9,,,8,5
1,15,11,0,78.57142857,3,,,15,F,,2,15,,,14,11
-1,15,11,0,78.57142857,3,,,15,M,,2,15,,,14,11
-1,15,11,0,66.66666667,1,,,9,M,,2,10,,,9,6
1,16,11,0,80,3,,,16,F,,2,16,,,15,12
1,16,11,0,70,2,,,11,F,,2,11,,,10,7
1,16,10,0,80,2,,,11,F,,1,8,,,10,8
1,16,11,0,62.5,1,,,9,F,,2,10,,,8,5
1,16,12,0,90,1,,,9,F,,3,9,,,10,9
1,15,11,0,100,2,,,10,F,,2,10,,,10,10
1,16,11,0,93.75,3,,,15,F,,2,15,,,16,15
-1,15,13,0,100,2,,,12,M,,4,13,,,13,13
1,16,13,0,100,1,,,6,F,,4,7,,,7,7
1,15,11,0,62.5,1,,,8,F,,2,9,,,8,5
1,15,13,0,100,3,,,16,F,,4,16,,,16,16
-1,16,13,0,76.92307692,3,,,15,M,,4,15,,,13,10
-1,15,13,0,100,2,,,10,M,,4,10,,,10,10
1,15,11,2,75,0,,,5,F,,2,6,,,8,6
-1,16,10,0,100,2,,,14,M,,1,12,,,12,12
1,16,11,0,72.72727273,2,,,11,F,,2,12,,,11,8
-1,15,11,0,100,2,,,10,M,,2,9,,,9,9
-1,15,13,0,100,2,,,10,M,,4,11,,,11,11
1,16,13,0,100,2,,,11,F,,4,11,,,11,11
-1,17,10,3,100,2,,,10,M,,1,8,,,8,8
1,16,11,0,100,0,,,5,F,,2,5,,,5,5
-1,15,10,0,70,2,,,12,M,,1,12,,,10,7
-1,15,12,0,90.90909091,2,,,11,M,,3,10,,,11,10
